,accuracy,precision,recall,f1,roc_auc,pr_auc,brier,used_calibration
UTILIZATION,0.7648738695859115,0.8072855464159812,0.6755162241887905,0.7355460385438972,0.844736799137903,0.8369724677370072,0.15890435874462128,True
DETERIORATION,0.8134221799143265,0.7618129218900676,0.8449197860962567,0.8012170385395537,0.892755982792306,0.8497897235974257,0.13079382479190826,True
ESCALATION,0.809138505473584,0.7895460797799174,0.6982968369829684,0.7411233053582956,0.8862706379870222,0.8235892610215043,0.13290588557720184,True
