target,before_brier,after_brier,brier_improvement,before_roc_auc,after_roc_auc,before_log_loss,after_log_loss,log_loss_improvement
FUTURE_HIGH_UTILIZATION,0.15837757289409637,0.15804436802864075,0.00033320486545562744,0.8475492277046665,0.8475492277046665,0.4824446439743042,0.4811899662017822,0.0012546777725219727
FUTURE_CLINICAL_DETERIORATION,0.14278632402420044,0.12937413156032562,0.013412192463874817,0.894453362196274,0.894453362196274,0.45740649104118347,0.4048328697681427,0.05257362127304077
FUTURE_HEALTHCARE_ESCALATION,0.13475966453552246,0.13100332021713257,0.0037563443183898926,0.8886152693044482,0.8886152693044482,0.4173184931278229,0.40906667709350586,0.008251816034317017
