,accuracy,precision,recall,f1,roc_auc,pr_auc,brier,used_calibration
CURRENT_RISK,0.9290813898143742,0.930576070901034,0.860655737704918,0.8942512420156139,0.9792098256874509,0.9611460113223267,0.05500059947371483,True
UTILIZATION,0.7624940504521657,0.7923250564334086,0.6902654867256637,0.7377824487651077,0.8468965773728534,0.8376408372200788,0.15830117464065552,True
DETERIORATION,0.8134221799143265,0.7535014005602241,0.8631016042780749,0.8045862412761715,0.8949633556837673,0.853253840021899,0.13000702857971191,True
ESCALATION,0.8086625416468348,0.7770448548812665,0.7165450121654501,0.7455696202531645,0.88715427388718,0.8271798942104087,0.1326456367969513,True
