target,before_brier,after_brier,brier_improvement,before_roc_auc,after_roc_auc,before_log_loss,after_log_loss,log_loss_improvement
CURRENT_RISK,0.05578847602009773,0.05453343316912651,0.001255042850971222,0.9792208025482283,0.9792208025482283,0.17983520030975342,0.17654141783714294,0.0032937824726104736
FUTURE_HIGH_UTILIZATION,0.15816320478916168,0.15801338851451874,0.00014981627464294434,0.8479764664903287,0.8479764664903287,0.4815886914730072,0.4811319410800934,0.00045675039291381836
FUTURE_CLINICAL_DETERIORATION,0.13588182628154755,0.129038468003273,0.006843358278274536,0.8951394685427578,0.8951394685427578,0.4350888133049011,0.40360674262046814,0.03148207068443298
FUTURE_HEALTHCARE_ESCALATION,0.13509558141231537,0.13100454211235046,0.004091039299964905,0.8889129851674724,0.8889129851674724,0.4182127118110657,0.4086304008960724,0.009582310914993286
