target,train_accuracy,validation_accuracy,test_accuracy,train_roc_auc,validation_roc_auc,test_roc_auc,test_precision,test_recall,test_f1,test_pr_auc
FUTURE_HIGH_UTILIZATION,0.8008980508215124,0.7342857142857143,0.7467872441694431,0.8907835194283311,0.8135431491050721,0.8223731903757349,0.7354014598540146,0.7690839694656488,0.7518656716417911,0.8102991180927694
FUTURE_CLINICAL_DETERIORATION,0.7890601081743035,0.7376190476190476,0.7106139933365064,0.8845430300322294,0.8096192775559478,0.7917992032223112,0.6595744680851063,0.7270788912579957,0.691683569979716,0.7400403690319992
FUTURE_HEALTHCARE_ESCALATION,0.8068170221451169,0.7585714285714286,0.7372679676344598,0.9072203542196993,0.843340478728407,0.8121127413977479,0.6075550891920252,0.7648612945838837,0.6771929824561403,0.7110569959559121
